,text
10,"
125g
unsalted butter
cut into pieces, plus extra for the tin
150g
dark chocolate
chopped into small chunks
200g
golden caster sugar
3
eggs
200g
self-raising flour
50g
cocoa powder
2
ripe bananas
peeled and mashed
"
11,"
50g
coconut oil
or sunflower oil, plus extra for the tin
200g
self-raising flour
25g
ground almonds
1 tsp
baking powder
75g
light muscovado sugar
4
dates
finely chopped
3-4 very ripe
bananas
mashed
3 tbsp
soya milk
75g
walnut
pieces, toasted
"
12,"
240g
oat flour
60g
vanilla whey protein
1 tsp
baking powder
½ tsp
cinnamon
¼ tsp
mixed spice
2
bananas
mashed
250ml
milk
1
egg
beaten
flavourless oil
for the dish
2 tbsp
smooth peanut butter
To serve
yogurt
berries and peanut butter
"
13,"
For the banana bread
140g
butter
softened
140g
light muscovado sugar
2
large eggs
2-3
very ripe bananas
zest ½
lemon
1 tsp
vanilla bean paste
85g
buttermilk
225g
self-raising flour
1 tsp
ground cinnamon
½ tsp
bicarbonate of soda
For the vanilla ricotta
250g
tub ricotta
3 tsp
vanilla bean paste
juice 2
oranges
1 zested
For the raspberry compote
zest and juice 2
oranges
85g
granulated sugar
600g
raspberries
"
14,"
4
thick slices white bread
50g
butter
softened
1
large   banana
peeled and sliced
2
eggs
85g
soft, light brown sugar
plus 1 tbsp extra
large pinch
cinnamon
450ml
milk
1 tbsp
cornflour
"
15,"
100ml
sunflower oil
plus extra for greasing
140g
caster sugar
140g
plain flour
140g
Brazil nut
roughly chopped
50g
desiccated coconut
1 tbsp
butter
diced, plus extra to serve
2
large, very ripe  bananas
- with black skins is ideal (about 175g peeled weight)
1
large egg
plus 1 large egg white
5 tbsp
milk
½ tsp
baking powder
¼ tsp
ground cinnamon
"
16,"
125g
self-raising wholemeal flour
½ tsp
baking powder
2 tsp
ground cinnamon
75g
sultana
50g
butter
melted
2 tsp
vanilla
essence
1
egg
1 tbsp
milk
3
ripe bananas
mashed
drizzle agave syrup
to serve (optional)
"
17,"
4
ripe bananas
peeled
250g
caster sugar
2
eggs
140g
softened butter
250g
plain flour
2 tsp
baking powder
100g
walnut piece
100g
chocolate chip
"
18,"
175g
softened butter
plus extra for the tin
200g
self-raising flour
1 tsp
cinnamon
100g
light muscovado sugar
2
large eggs
beaten
3 tbsp
clear honey
2
overripe bananas
(about 350g with skins on)
100g
stoned date
50g
chopped walnut
For the glaze
2 tbsp
clear honey
25g
butter
50g
walnut half
"
19,"
100g
softened butter
plus extra for greasing
8 tbsp
maple syrup
3
small ripe bananas
and 1 very overripe banana
200g
dark brown soft sugar
4
large eggs
2 tsp
vanilla
paste or extract
200g
self-raising flour
100g
pecan
broken into pieces
1 tsp
bicarbonate of soda
1 tsp
ground cinnamon
200g
pot full-fat Greek yogurt
plus extra, or vanilla ice cream, to serve
For the sauce
100g
whole pecan
100g
salted butter
diced
100ml
double cream
100ml
maple syrup
"
20,"
100g
unsalted butter
melted, plus extra for the tin
4
ripe bananas
50g
full-fat natural yogurt
plus 2 tbsp
100g
spelt flour
120g
plain flour
2 tsp
baking powder
1 tsp
ground cardamom
2
eggs
160g
golden caster sugar
1 tsp
vanilla extract
40g
walnuts
broken
200ml
double cream
For the salted caramel sauce
40g
unsalted butter
diced
150ml
double cream
130g
light muscovado sugar
generous pinch sea salt
"
21,"
100ml
sunflower oil
plus extra to grease
175g
caster sugar
175g
self-raising flour
½ tsp
bicarbonate of soda
4 tbsp
cocoa powder
100g
chocolate chips
or chunks
175g very ripe
bananas
3 medium
eggs
2 separated
50ml
milk
For the topping
100g
milk chocolate
100ml
soured cream
handful
dried banana chips
roughly chopped
"
