,text
32,"
For the dough
450g
strong white flour
plus extra for dusting
2 x 7g sachets
fast-action yeast
50g
golden caster sugar
150ml
warm milk
1
egg
beaten
50g
unsalted butter
melted, plus extra for greasing
oil
for greasing
For the filling
25g
softened butter
plus extra for greasing
100g
currants
50g
sultanas
roughly chopped
2 tsp
mixed spice
25g
caster sugar
For the glaze
2 tbsp
golden or white caster sugar
"
33,"
500g
strong wholemeal flour
or strong white flour (or a mix of flours, see tip), plus extra for dusting
7g
sachet fast-action dried yeast
1tsp
fine sea salt
"
34,"
175g
butter
melted
140g
clear honey
1
large  egg
beaten
250g
raw peeled pumpkin
or butternut squash, coarsely grated (about 500g/1lb 2oz before peeling and seeding)
100g
light muscovado sugar
350g
self-raising flour
1 tbsp
ground ginger
2 tbsp
demerara sugar
"
35,"
200ml
whole milk
plus extra for brushing
50g
unsalted butter
500g
plain flour
plus extra for dusting
1 tbsp
caster sugar
7g sachet
fast-action dried yeast
1
egg
beaten
sesame seeds
(optional)
"
36,"
200g
active sourdough starter
(see recipe below)
3
eggs
beaten
125ml
milk
500g
strong white bread flour
plus extra for dusting
60g
golden caster sugar
or light brown sugar
100g
unsalted butter
softened
"
37,"
250g
plain flour
plus extra for dusting
50g
wholemeal flour
1 tsp
bicarbonate of soda
225ml
buttermilk
or natural yogurt
1 tsp
honey
1 tbsp
milk
2 tbsp
porridge oats
"
38,"
For the starter
250g
wholemeal rye flour
For the bread
100g
active rye starter (see above)
500g
wholemeal rye flour
extra for dusting
10g
fine salt
25g
butter
softened, for the tin
"
39,"
250g
plain flour
plus extra for dusting
½ tsp
salt
1 tsp
sugar
1 heaped tsp
bicarbonate of soda
225ml
buttermilk
"
40,"
100ml
whole milk
550g
strong white bread flour
plus extra for dusting
100g
caster sugar
7g sachet
fast-action dried yeast
4 large
eggs
at room temperature
150g
unsalted butter
at room temperature, cut into cubes
For the filling
50g
light brown soft sugar
30g
cocoa powder
125g
dark chocolate
finely chopped
100g
unsalted butter
chopped
3
oranges
zested
For the syrup
100g
caster sugar
3
oranges
juiced (or use the juice of 2 oranges mixed with 25ml triple sec), plus 1 orange, zest peeled and finely sliced into strips
"
41,"
300g
self-raising flour
plus extra for dusting
½ tsp
baking powder
150g
natural yogurt
1 tbsp
vegetable oil
melted
ghee
or butter, for brushing
cumin seeds
chopped garlic cloves, chopped coriander or chopped chillies (optional)
"
42,"
450g
wholemeal flour
plus extra for dusting
75g
four-seed mix
(sesame, sunflower, golden linseed and pumpkin)
1 tsp
bicarbonate of soda
1 tbsp
black treacle
150ml
pot natural bio yogurt
made up to 450ml with water
"
43,"
200g cold leftover
porridge
500g
strong white bread flour
plus extra for dusting
½ tbsp
caster sugar
1 tsp flaked
sea salt
7g
dried yeast
small handful of
oats
to sprinkle
"
44,"
500g
strong white flour
7g
fast-action yeast
2 tbsp
olive oil
plus a little extra
small pack
basil
leaves picked
2 x 125g
mozzarella
balls
2 tbsp
pine nuts
toasted
3 tbsp
green pesto
"
45,"
500g
pack bread mix
(we used ciabatta)
15
sage leaves
5 finely shredded, the rest left whole
4 tbsp
good-quality olive oil
2
garlic cloves
crushed
plain flour
for dusting
4-5
fresh figs
thickly sliced
½
onion
sliced as thinly as possible
100g
serrano ham
slices
flaky sea salt
for sprinkling
"
46,"
350g
wholemeal flour
plus extra for dusting
4 tsp
cold-pressed rapeseed oil
"
47,"
For the buns
300ml
full-fat milk
plus 2 tbsp more
50g
butter
500g
strong bread flour
1tsp
salt
75g
caster sugar
1tbsp
sunflower oil
7g
sachet fast-action or easy-blend yeast
1
egg
beaten
75g
sultanas
50g
mixed peel
zest 1  orange
1
apple
peeled, cored and finely chopped
1tsp
ground cinnamon
1 tsp
mixed spice
For the cross
75g
plain flour
plus extra for dusting
For the glaze
3tbsp
apricot jam
"
48,"
1 whole
garlic bulb
1 tbsp
olive oil
210g
plain flour
plus extra for dusting
210g
strong white bread flour
7g sachet
fast-action dried yeast
1 tbsp
golden caster sugar
1 tsp
fine sea salt
2 tbsp finely chopped
rosemary
plus extra sprigs to garnish
3
eggs
beaten
50ml vegetable or
sunflower oil
plus extra for the bowl
100g dried
cranberries
roughly chopped
"
49,"
For the flatbread
7g
fast-action dried yeast
200g
'00' flour
200g
strong bread flour
1 tbsp
olive oil
For the topping
1
aubergine
½
red onion
finely sliced
150g
leftover lamb
shredded or chopped
2 tbsp
finely chopped parsley
1
tomato
finely chopped
1 tbsp
tomato purée
1
garlic clove
crushed
pinch of
ground cumin
pinch of
smoked paprika
1 tbsp
pomegranate molasses
(optional)
1 tbsp
olive oil
1 tbsp
pine nuts
For the tahini drizzle
1 tsp
tahini
"
50,"
400ml
hot strong black tea
100g
dried fig
hard stalks removed, thinly sliced
140g
sultana
50g
porridge oat
200g
self-raising wholemeal flour
1 tsp
baking powder
100g
mixed  nuts
(almonds, walnuts, Brazils, hazelnuts), plus 50g for the topping
1 tbsp
golden  linseed
1 tbsp
sesame seed
plus 2 tsp to sprinkle
25g
pumpkin seed
1
large egg
25g
ricotta
per person
1
orange
or green apple, thickly sliced, per person
"
51,"
450g
strong white bread flour
plus a little for dusting
7g
sachet fast-action dried yeast
1 tsp
golden caster sugar
2 tbsp
olive oil
plus a drizzle
150g
tub fresh pesto
240g
tub semi-dried tomatoes
drained and roughly chopped
100g
grated mozzarella
(ready-grated is best for this, as it is drier than fresh)
50g
parmesan
(or vegetarian alternative), grated
handful
basil
leaves
"
52,"
500g
pack white bread mix
100g
golden caster sugar
200-250ml
warm milk
50g
salted butter
melted
1
medium egg
lightly beaten
3 tsp
almond essence
plain flour
for dusting
a little
oil
for proving
180g
raspberry jam
250g
icing sugar
12
glacé cherries
30g
flaked almonds
toasted (optional)
"
53,"
400g
strong wholemeal bread flour
100g
spelt flour
7g
sachet fast-action dried yeast
1 tbsp
black treacle
oil
for greasing
50g
mixed seeds
(we used pumpkin, sunflower, poppy and linseeds)
1
egg yolk
loosened with a fork
1 tsp
fine salt
"
54,"
For the starter
100g
strong white bread flour
100g
organic dark rye flour
0.5 x 7g
sachet fast-action dried yeast
For the main dough
400g
strong white bread flour
0.5 x 7g
sachet fast-action dried yeast
"
55,"
500g
strong bread flour
plus extra for dusting
7g
sachet fast-action dried yeast
pinch of
sugar
2 tbsp
olive oil
plus 2 tsp extra
knob of
butter
2
onions
thinly sliced
140g
gruyère
grated
1 tbsp
thyme leaves
"
56,"
525g
plain flour
plus extra for dusting
1½ tbsp
caster sugar
plus a pinch
1 tsp
fast-action dried yeast
50ml
milk
1 tbsp
sunflower oil
plus extra for brushing and for the bowl
1 tbsp
rice vinegar
1 tsp
baking powder
"
57,"
250g
strong white bread  flour
1 tsp
fast-action dried yeast
1 tbsp
olive oil
plus extra for drizzling
200ml
sparkling water
semolina
for sprinkling (optional)
finely chopped  rosemary
and Maldon salt, for sprinklng
"
58,"
140g
walnuts
100g
wholemeal flour
400g
strong white bread
flour
14g
sachet fast-action yeast
25g
butter
250g
roquefort
cheese, crumbled
2
medium eggs
beaten
"
59,"
225g
strong white flour
225g
malted granary bread
flour
1 tsp  salt
1 tsp  caster sugar
7g
sachet easy-blend yeast
150ml
warm  milk
1
egg
beaten
1 tbsp  olive oil
100-150ml
warm water
"
60,"
500g
strong white bread
flour, plus some for dusting
1 ½ tsp salt
7g
sachet fast-action yeast
2 tbsp
extra-virgin olive oil
plus some for drizzling
125g
ball mozzarella
drained
5
tbsp pesto
(shop-bought or see recipe, below)
sea salt
to serve (optional)
"
61,"
1batch
white bread
dough (see 'Goes well with' recipe below)
6 tbsp
good-quality tomato sauce
3
wafer-thin ham
slices, torn
100g
ball mozzarella
grated
handful
basil leaf
1
egg
beaten
"
62,"
200g
gluten-free white flour
1 tsp
salt
3 tsp
gluten-free baking powder
284ml
buttermilk
(or same amount of whole milk with a squeeze of lemon juice)
3
eggs
1 tsp
tomato purée
2 tbsp
olive oil
50g
sundried tomatoes
in oil (about 6-8), coarsely chopped
25g
parmesan
(or vegetarian parmazano), grated
"
63,"
1
red onion
1 tbsp
olive oil
plus a little extra
100g
gruyère
few rosemary
sprigs
coarse sea salt
For the dough
7g
sachet easy-blend yeast
or 15g fresh yeast
500g
strong white bread
flour, plus extra for dusting
2 tsp
salt
1 tsp
sugar
2 tbsp
olive oil
"
64,"
350g
wholemeal flour
100g
rye
flour
50g
quinoa
flour or extra rye flour
2 tsp
salt
7g
sachet fast-action yeast
125g
pack sunflower seeds
25g
caraway
seeds
50g
each poppy seeds
and sesame seeds
75ml
black treacle
300ml
water
"
65,"
650g
strong white  flour
2 tsp
cracked  black pepper
2 tsp
salt
7g sachet
easy blend  yeast
2 tbsp
olive oil
425-450ml/¾ pint-16fl oz
warm  water
350g
dried, ready-to-eat  fig
roughly chopped
"
66,"
For the sourdough starter
50g
strong white flour
to start, then 25g extra a day for 6 days
50g
strong wholemeal flour
to start, then 25g extra a day for 6 days
For the sourdough loaf
450g
strong white flour
plus extra for dusting
50g
wholemeal flour
10g
fine salt
100g
sourdough starter
(see above)
"
67,"
350ml
milk
plus extra for brushing
30g
butter
cubed
500g
strong white bread flour
10g
fast-action dried yeast
2 tbsp
caster sugar
300g
icing sugar
plus 1 tbsp
few drops of yellow, pink and purple
food colouring
(optional)
300ml
whipping or double cream
200g
lemon curd
200g
raspberry jam
200g
blackcurrant jam
glacé cherries
sprinkles or crystallised rose and violet petals, to decorate (optional)
"
68,"
3
medium courgettes
grated
2 tsp
salt
2 tbsp
olive oil
1
small onion
finely chopped
2
garlic
cloves, crushed
100g
chestnut mushroom
chopped
350g
strong plain flour
7g
sachet easy-blend dried yeast
2 tbsp
chopped fresh basil
½ tbsp
coarse sea salt
to sprinkle
"
69,"
500g
strong white bread flour
7g sachet/1.5 tsp fast-action yeast
1 tsp salt
2 tbsp olive oil
1 tbsp clear honey
2
garlic cloves
crushed
25g
soft butter
100g
mature cheddar
grated
handful thyme
leaves
"
70,"
oil
or butter, for greasing
250g
plain flour
plus extra for dusting
200g
wholemeal flour
50g
porridge oats
plus extra for sprinkling
1 tsp
bicarbonate of soda
150ml
pot live bio yogurt
1 tbsp
black treacle
1 tbsp
clear honey
"
71,"
200g
wholemeal flour
200g
plain flour
plus extra for dusting
1 tsp
bicarbonate of soda
2 tsp
cream of tartar
1 tsp
salt
1 tsp
caster sugar
25g
butter
melted
300ml
milk
at room temperature
175g
cheddar
coarsely grated
3 tbsp
pumpkin
seeds
85g
ready-roasted  pepper
from a jar, drained and chopped
"
72,"
500g
strong wholemeal flour
(we used Doves Farm mixed grain malthouse bread flour)
7g
sachet fast-action dried yeast
1 tsp
salt
up to 350ml
warm water
100g
mixed seed
(we used a mix of linseeds, hemp seeds, pumpkin seeds and sesame seeds)
50g walnut
pieces
a little sunflower oil
for greasing
"
73,"
1batch
white bread
dough (see 'Goes well with' recipe below)
5 tbsp
olive oil
2
large red onions
sliced
handful rosemary
sprigs
1 tsp
sea salt
flakes
"
74,"
500g
strong white flour
plus extra for dusting
7g
sachet fast-action dried yeast
1 tsp
salt
up to 350ml
lukewarm water
a little sunflower oil
for greasing
"
75,"
For the dough
500g
strong  flour
7g
sachet fast-action yeast
1
heaped tsp salt
For the filling
large bunch rosemary
285g
jar  artichoke
antipasti in oil (we used Sacla)
50g
freshly grated  parmesan
(or vegetarian alternative), plus extra for grating
"
76,"
500g
strong white flour
plus extra for rolling
1 tsp
salt
7g sachet easy-blend dried yeast
6 tbsp
extra-virgin olive oil
plus a little for brushing
small bunch of basil
170g
pitted black olives
(about 200g unpitted weight)
1
garlic clove
crushed
4 tinned anchovies
(optional)
50g
pitted green olives
"
77,"
For the base
500g
strong white flour
plus extra for rolling
7g
sachet fast-action yeast
1 tsp
salt
2 tbsp
olive oil
For the topping
50g
butter
softened
2
garlic cloves
crushed
300g
pack mozzarella
drained
4
tomatoes
roughly chopped
handful basil leaves
roughly chopped
1 tbsp
extra-virgin olive oil
1 tsp
balsamic vinegar
"
78,"
1 tsp
fresh yeast
or ½ tsp fast-action dried yeast
2 tbsp
olive oil
450g
organic strong white flour
For the topping
3
medium waxy potatoes
thinly sliced
2 tbsp
olive oil
plus extra to serve
1 tsp
turmeric
1
rosemary
sprig, leaves picked and chopped, to serve
"
79,"
For the starter
700g
strong white flour
For the loaf
500g
strong white flour
1 tsp
fine  salt
1 tbsp
honey
300g
sourdough starter
"
80,"
570g
plain flour
plus extra for dusting
1 tsp
sugar
1½ tsp
baking powder
½-1 tsp
strongly-flavoured seeds
such as nigella or cumin seeds (optional)
2 tbsp
melted butter
8 tbsp
natural yogurt
oil
for the bowl
For the garlic butter (optional)
2
garlic cloves
crushed
small handful of
coriander
finely chopped, plus extra to serve
"
81,"
520g
plain wholemeal flour
plus extra for dusting
50g
four-seed mix
(sunflower, pumpkin, sesame and golden flax seeds), plus extra for sprinkling
1½ tsp
bicarbonate of soda
400ml fortified
oat milk
2 tbsp
lemon juice
"
82,"
120-140ml
whole milk
50g
unsalted butter
cubed
300g
strong white bread flour
plus extra for dusting
50g
golden caster sugar
½ tsp
fine sea salt
7g sachet
fast-action dried yeast
1
medium egg
lightly beaten
oil
for the bowl
For the filling
50g
unsalted butter
softened
2 tbsp
sesame seeds
toasted
50g
light brown soft sugar
3 tsp
cinnamon
¼ tsp ground
cardamom
For the honey & tahini butter
70g
salted butter
softened
2 tbsp
runny honey
2 tbsp
tahini
For the icing
75g
golden icing sugar
sesame seeds
for sprinkling (optional)
"
83,"
190g
plain wholemeal spelt flour
plus extra for dusting
½ tsp
bicarbonate of soda
1 tsp
baking powder
75ml
live bio yogurt
made up to 150ml with cold water
"
84,"
170ml
whole milk
1 tsp
caster sugar
100g
unsalted butter
cut into cubes
1½ tsp fine
sea salt
3 tsp
English mustard powder
500g
strong white bread flour
1 x 7g sachet
fast-action dried yeast
4
medium  eggs
lightly beaten, plus 1 to glaze
oil
for proving
250g
mature cheddar
grated
50g
parmesan
grated
½ bunch of
chives
finely chopped
150g
smoked  ham
coarsely chopped
"
85,"
340g
strong wholemeal flour
340g
strong white bread flour
plus extra for dusting
2 tsp
bicarbonate of soda
40g
dried onion flakes
1 tbsp
nigella seeds
85g
butter
melted
625ml
natural yogurt
splash of
milk
1 tbsp
oats
For the mustard butter
135g
unsalted butter
chopped and softened
25g
English mustard
"
86,"
500g
strong white bread flour
plus extra for dusting
7g sachet
fast-action dried yeast
1 tsp
ground cinnamon
50g
golden caster sugar
200ml
warm milk
2
eggs
100g
butter
softened, plus extra for the tin
2 tbsp
golden syrup
For the filling
150g
light brown soft sugar
2 tbsp
ground cinnamon
125g
butter
at room temperature
For the icing
50g
soft cheese
50g
icing sugar
¼ tsp
vanilla extract
"
87,"
500g
strong white bread flour
7g
sachet fast-action dried yeast
2 tsp
golden caster sugar
100g
butter
melted (buy a 250g pack and use the rest in the garlic butter)
drizzle of
oil
for greasing
2 tbsp
fine polenta
or cornmeal
150g
pack mozzarella
(about 20 balls)
For the tomato dipping sauce
small knob of
butter
1
garlic clove
crushed
2 x 400g cans
chopped tomatoes
1 tsp
dried oregano
1 tbsp
red wine vinegar
2 tsp
golden caster sugar
For the garlic butter
140g
butter
4
garlic cloves
crushed
small bunch
parsley
finely chopped (leave a little leftover to garnish, if you like)
"
88,"
500g
strong bread flour
7g sachet
fast-action dried yeast
1 tsp
salt
300ml
hand-hot water
2 tbsp
sunflower oil
1 tbsp
honey
"
89,"
85g
butter
room temperature
2
garlic cloves
finely chopped
175g
jarlsberg cheese
coarsley grated
2 tbsp chopped parsley
¼ tsp crushed dried chillies
1 round French country loaf, or  ciabatta
"
90,"
800g
loaf white farmhouse bread
4 tbsp
smooth peanut butter
3
eggs
1 tbsp
sugar
50ml
whole milk
pinch of
ground cinnamon
1 tsp
vanilla extract
4 tbsp
vegetable oil
5 tbsp
condensed milk
"
91,"
100g
rolled porridge oat
25g
butter
diced
200g
plain flour
200g
plain wholemeal flour
plus extra for dusting
100g
caster sugar
1 tsp
bicarbonate of soda
1 ½ tsp
mixed spice
50g
raisin
50g
sultana
50g
stoned date
finely chopped
3 tbsp
mixed peel
450ml
buttermilk
3-4 tbsp demerara sugar
"
92,"
250g
plain white flour
250g
plain wholemeal flour
100g
porridge oats
1 tsp
bicarbonate of soda
1 tsp
salt
25g
butter
cut in pieces
500ml
buttermilk
"
93,"
500g
strong white bread flour
plus extra for dusting
70g
caster sugar
7g
sachet fast-action dried yeast
2
eggs
beaten
70ml
sunflower oil
plus extra for the bowl
1 tbsp
poppy seeds
or sesame seeds (optional)
"
94,"
140g
plain flour
140g
wholemeal flour
7g
sachet easy-blend yeast
1 tbsp melted butter
plus extra for brushing
For the quick spice paste (optional)
2
fat  garlic cloves
chopped
1
large red or green  chilli
seeded and chopped
2 tsp  sesame
seeds
2 tsp ground fenugreek or ground coriander
2 tbsp  olive oil
2 tbsp chopped coriander
"
95,"
400g
strong white flour
7g
sachet fast-action yeast
1 tsp
salt
300ml
water
4 tbsp
olive oil
plus extra for brushing
1
onion
finely chopped and fried
2
rashers back bacon
finely chopped and fried
sea salt
for sprinkling (optional)
"
96,"
For the preferment
200g
strong white bread flour
½ x 7g sachet
fast-action dried yeast
For the dough
400g
strong white bread flour
½ x 7g sachet
fast-action dried yeast
10g
fine salt
100ml
olive oil
1
garlic bulb
2
rosemary sprigs
leaves picked
1 tsp
sea salt flakes
"
